,ID,geometry
0,0,POINT (1011631.4573125847 6302372.622493805)
1,1,POINT (780801.5875934684 6789988.023512573)
2,2,POINT (814333.0219712367 6423818.921188078)
3,3,POINT (826829.525368708 6904949.270716516)
4,4,POINT (935841.1404788553 6883948.517701994)
5,5,POINT (1058491.6196009947 6214181.710083661)
6,6,POINT (1618919.3546065777 6877703.845518449)
7,7,POINT (1125054.5525233785 6987109.632281693)
8,8,POINT (1172172.1967939935 6054268.012778448)
9,9,POINT (1363824.1736038344 6128642.61220132)
10,10,POINT (715379.6794517156 6739554.901315285)
11,11,POINT (1074332.3831408776 6861768.327859421)
12,12,POINT (1001786.3615468275 6223637.8814817425)
13,13,POINT (782429.5238268293 6832005.839920459)
14,14,POINT (1364763.1535086755 7042887.472712846)
15,15,POINT (793722.2182508621 6594014.943007781)
16,16,POINT (1414677.47734649 6126168.841136996)
17,17,POINT (1014153.9569739603 6232682.665145555)
18,18,POINT (1605618.1226101618 6194018.401582452)
19,19,POINT (935161.5349875623 7019012.09753895)
20,20,POINT (759057.4401373275 6651933.6625410905)
21,21,POINT (1319920.3230324213 6848320.74359717)
22,22,POINT (1651633.3699634508 6642948.483992473)
23,23,POINT (1166083.4659255648 7129442.703621448)
24,24,POINT (1406624.7367019954 6612285.8478666805)
25,25,POINT (1403095.686204867 6280492.20346817)
26,26,POINT (1266383.1063667398 7096219.644843116)
27,27,POINT (1065634.7686862175 6878591.31512336)
28,28,POINT (938601.4185725653 6362470.763396497)
29,29,POINT (850185.8016905172 6081870.670553716)
30,30,POINT (1331313.4276371496 6670297.919056293)
31,31,POINT (904827.0850658861 7057930.056585448)
32,32,POINT (955801.949692488 6844398.775559512)
33,33,POINT (987025.3970676395 6804864.137465756)
34,34,POINT (912603.7533732136 6712937.993138113)
35,35,POINT (774716.8642267081 6591365.725437965)
36,36,POINT (791058.8994336331 6568083.889867867)
37,37,POINT (1239308.7590524354 6344016.888411378)
38,38,POINT (1018372.9656750252 6416765.92189708)
39,39,POINT (1516515.2191919554 6787070.450239382)
40,40,POINT (1130978.1965869614 6866560.840779072)
41,41,POINT (1150419.5890565524 6048449.961867908)
42,42,POINT (772006.234625892 6676041.131952842)
43,43,POINT (889044.2076612159 7053332.442314004)
44,44,POINT (1234537.1603990723 6063469.5596629605)
45,45,POINT (871902.1192739597 6310237.140672358)
46,46,POINT (1293052.9186515014 6838050.963818168)
47,47,POINT (737708.5881929934 6698110.188187058)
48,48,POINT (1034257.2551358083 6970035.365854983)
49,49,POINT (792317.8115550141 6726451.206697488)
50,50,POINT (1222903.383055249 6949219.719489237)
51,51,POINT (1195552.7407647958 7046791.540744865)
52,52,POINT (1134172.7320142558 6141198.249823009)
53,53,POINT (1518511.9568983149 7141325.472494585)
54,54,POINT (1181595.7256481166 7168189.933931875)
55,55,POINT (1393681.0629100075 6383393.688446773)
56,56,POINT (1162637.1258100956 6870220.204396662)
57,57,POINT (815843.850100283 7134574.8782972265)
58,58,POINT (944588.4034264092 6791313.095713942)
59,59,POINT (814533.5083741554 6880240.906651364)
60,60,POINT (882629.9786017075 6741321.954402166)
61,61,POINT (1459031.503938671 6632387.701550039)
62,62,POINT (737375.9655545033 6673606.498127975)
63,63,POINT (1276544.5721253315 6837724.884867523)
64,64,POINT (938030.1269458145 6655308.534423015)
65,65,POINT (1650757.8421683616 6665162.831776597)
66,66,POINT (775273.0164027113 6624699.354538978)
67,67,POINT (831341.9722475042 6318232.316894439)
68,68,POINT (1265229.3911641582 6863277.435871994)
69,69,POINT (916411.3252363066 6907326.370405793)
70,70,POINT (1310392.8217738974 6910030.24913854)
71,71,POINT (1105814.4256931418 6719773.793393234)
72,72,POINT (747728.2329203145 6701480.431948913)
73,73,POINT (935460.761778815 6777448.588421305)
74,74,POINT (958222.3693808063 6307056.012310809)
75,75,POINT (811178.450241137 7041456.107159997)
76,76,POINT (734538.0977757103 6720355.310529026)
77,77,POINT (1493923.7077718962 6866440.883815097)
78,78,POINT (1221915.5338939496 7007137.098950991)
79,79,POINT (1506394.2737280128 6928069.689097646)
80,80,POINT (809901.8383207197 7070903.0232459465)
81,81,POINT (1441136.5618351798 6404879.968958198)
82,82,POINT (1526686.0357877738 6618203.533137691)
83,83,POINT (924331.0390893033 6890367.539007156)
84,84,POINT (803103.1117400113 6658152.07908912)
85,85,POINT (772077.4790999996 6660411.84358514)
86,86,POINT (899349.8321603849 6231544.78729819)
87,87,POINT (1494817.0466855122 7190754.519435283)
88,88,POINT (1350761.833234661 6082948.303325439)
89,89,POINT (1044955.5034790051 6095206.088459782)
90,90,POINT (999385.088810926 6238264.022054098)
91,91,POINT (980356.0237352328 6536651.261968145)
92,92,POINT (761902.3210440404 6633788.902151275)
93,93,POINT (1108234.5114229873 6793356.844531916)
94,94,POINT (1490334.9900277029 7081801.43471904)
95,95,POINT (1003521.3871303315 6989265.042468032)
96,96,POINT (790182.1471241452 6598026.970468351)
97,97,POINT (817619.3959784358 7140861.2905864725)
98,98,POINT (826446.4750008885 6922909.167302938)
99,99,POINT (922750.8589174927 6455232.802140298)
100,100,POINT (1153501.1352006919 6828023.20623549)
101,101,POINT (1392329.5329722862 6782225.97779192)
102,102,POINT (1605257.1135015192 6841128.199257706)
103,103,POINT (1061660.5515454067 6967931.846831756)
104,104,POINT (796967.9606439215 6675712.768388839)
105,105,POINT (888283.895539098 6764738.947917236)
106,106,POINT (1401735.0280689008 6704069.916587628)
107,107,POINT (1512529.3135046118 6817048.960425594)
108,108,POINT (1072772.6857553732 6867026.283422147)
109,109,POINT (1528210.8901726601 6895460.7076150095)
110,110,POINT (691000.9336069701 6579081.962192123)
111,111,POINT (1135552.75974162 7220809.129242095)
112,112,POINT (1007209.0679018402 6845210.763000887)
113,113,POINT (898970.2326967799 6689575.169146843)
114,114,POINT (1362311.8983214078 7189349.5044156425)
115,115,POINT (1438592.9114705538 6596037.5530506)
116,116,POINT (274855.1698549848 8006943.521699804)
117,117,POINT (692105.5569141118 6568566.507267621)
118,118,POINT (1509348.2477357031 6906777.239101559)
119,119,POINT (931098.4848930989 6974793.036913159)
120,120,POINT (1025683.5392744011 6194845.848048371)
121,121,POINT (880769.273313098 7068741.851488027)
122,122,POINT (962711.7731250081 6267344.560454741)
123,123,POINT (1117558.2980133595 6246628.493499358)
124,124,POINT (1180777.082112823 6034916.080907668)
125,125,POINT (1555979.3145120607 6648118.4511414105)
126,126,POINT (740186.3374190701 6760051.547989771)
127,127,POINT (1139059.5463405896 6949908.815823901)
128,128,POINT (1531916.7160211683 6860508.342640282)
129,129,POINT (1145544.3519572609 6618039.62092875)
130,130,POINT (875241.036080813 6928826.048833098)
131,131,POINT (1263581.6400614362 6684889.4788070135)
132,132,POINT (959442.6536388821 6812978.792909456)
133,133,POINT (682085.4669088277 6775527.460544628)
134,134,POINT (1193330.4697700897 6360699.314908362)
135,135,POINT (989644.6333665143 6955406.0270059295)
136,136,POINT (1112519.6439015835 6603262.2491831295)
137,137,POINT (762512.0178951152 6704018.0973929595)
138,138,POINT (809484.835508208 6558828.060733061)
139,139,POINT (1317187.8748114095 6910943.476648545)
140,140,POINT (883492.2593773921 6711367.560865992)
141,141,POINT (899829.2852072314 6839715.897582878)
142,142,POINT (1218133.008916285 6946298.027898324)
143,143,POINT (946128.9538594974 6989304.472737414)
144,144,POINT (762727.3097903093 6658407.595242617)
145,145,POINT (1190973.836149996 6556367.3844726095)
146,146,POINT (869093.5285212453 6035745.972526726)
147,147,POINT (1480003.7620456514 7089980.019834394)
148,148,POINT (1231260.3598680818 6349612.988769212)
149,149,POINT (1596573.6366221898 7137478.869636691)
150,150,POINT (1457746.5430564443 7053449.076453248)
151,151,POINT (1480760.7345830456 6841856.070893548)
152,152,POINT (1407846.8020719239 6636654.7576243505)
153,153,POINT (1144423.364684973 6181093.080080986)
154,154,POINT (974725.4838909089 6890761.766645793)
155,155,POINT (699545.1498033172 6677752.076867128)
156,156,POINT (980424.1512635984 6797612.546228161)
157,157,POINT (1055797.576604307 7105284.657557966)
158,158,POINT (754497.4598359626 6595339.431005008)
159,159,POINT (1387419.341552886 6214046.7679438675)
160,160,POINT (841036.5640617087 6364202.800486988)
161,161,POINT (1526746.8162297471 6643789.372735643)
162,162,POINT (871325.0390336874 6043290.092186076)
163,163,POINT (1532183.7714795812 6200373.297031589)
164,164,POINT (1544561.3856608854 6700735.9331210265)
165,165,POINT (1286374.862398813 6780571.212062909)
166,166,POINT (1354220.6411330986 6735607.745918299)
167,167,POINT (1041872.3988619945 7023093.717042879)
168,168,POINT (1386545.0382721955 6294247.74105799)
169,169,POINT (1134096.8121215347 6169538.145224827)
170,170,POINT (1081195.8976652278 7158059.515147137)
171,171,POINT (917038.8332059084 6450849.111876087)
172,172,POINT (1131415.1255883246 6217334.170653683)
173,173,POINT (1100229.972118006 6194808.701154704)
174,174,POINT (1227842.8515007282 6618605.459018461)
175,175,POINT (1437785.9564817932 6854219.015064898)
176,176,POINT (797899.4821428797 6779774.707034098)
177,177,POINT (1441001.4199733569 6685549.453309992)
178,178,POINT (781607.5407068117 6281608.8307632515)
179,179,POINT (1488151.903493756 6932046.658259232)
180,180,POINT (1306840.7281421747 6940209.82369306)
181,181,POINT (1163644.3445627932 6391544.386694596)
182,182,POINT (1233613.2086254882 6337067.171512038)
183,183,POINT (1103376.8628032415 6866964.113459353)
184,184,POINT (715598.0882926519 6728236.025495461)
185,185,POINT (1230695.0794938335 6707873.451205833)
186,186,POINT (1498372.813860431 7110956.2458760785)
187,187,POINT (970294.6341988643 7013125.581471446)
188,188,POINT (1387468.767406798 6130876.524006632)
189,189,POINT (1560330.4594486973 6667422.221555681)
190,190,POINT (1039251.1588122853 6209338.9488955345)
191,191,POINT (1466435.5859103133 7217227.415341691)
192,192,POINT (1211903.3475725118 6169454.687074918)
193,193,POINT (766153.946355908 6683751.673953882)
194,194,POINT (1448427.2092457039 6609788.298169208)
195,195,POINT (1283489.2385584698 6916239.384443314)
196,196,POINT (1018161.1246840457 6225460.406114642)
197,197,POINT (733617.930864813 6679817.370916976)
198,198,POINT (762484.6333003801 6892042.408456363)
199,199,POINT (1133958.775952951 6926730.572752227)
200,200,POINT (1549328.197576144 7047538.160658618)
201,201,POINT (1543664.9298015272 6897711.099382949)
202,202,POINT (1449001.2838597246 6630373.120327286)
203,203,POINT (1127299.0874162435 7232426.486146949)
204,204,POINT (900024.2056356105 6370627.030679673)
205,205,POINT (926240.168356408 6781079.710347677)
206,206,POINT (1222589.907369175 6151573.416554876)
207,207,POINT (1304092.4725534704 7012473.896601986)
208,208,POINT (1243792.262863625 6175996.89673419)
209,209,POINT (812137.1336958486 6721296.245940916)
210,210,POINT (800697.7201829501 6439223.204736136)
211,211,POINT (1386360.8045149327 6823235.031333975)
212,212,POINT (744781.7173185074 6652318.069152898)
213,213,POINT (1275883.0003915469 6657666.65591184)
214,214,POINT (695934.9473974004 6368293.65275375)
215,215,POINT (1491331.8560677567 7117544.469830207)
216,216,POINT (1377957.1848354575 6683653.640847093)
217,217,POINT (1310687.9297439903 7047192.625793786)
218,218,POINT (1392178.47242328 6940565.292650177)
219,219,POINT (1498026.9442025365 7148474.299203462)
220,220,POINT (775689.5739372596 6893019.988346204)
221,221,POINT (1487951.9736882914 6641885.125417695)
222,222,POINT (1210199.2688074482 6365157.022661923)
223,223,POINT (1208738.4231297683 6668499.755715095)
224,224,POINT (1674172.7838618187 6661025.229606335)
225,225,POINT (1347120.3500518312 6088259.308835731)
226,226,POINT (718789.9520521674 6689502.037668662)
227,227,POINT (817264.2868028051 7084591.889936025)
228,228,POINT (1481640.1585603126 6877375.245519708)
229,229,POINT (1404029.434093641 6582736.873811978)
230,230,POINT (680682.7300053417 6623898.110411019)
231,231,POINT (1286396.90365799 6125891.39108247)
232,232,POINT (1505232.0982441308 6557401.133655868)
233,233,POINT (865603.1058874223 6625509.3489016695)
234,234,POINT (1511930.5259636347 6857260.362303766)
235,235,POINT (911289.5154649082 6996851.457680848)
236,236,POINT (1462884.0488760446 6979170.083027083)
237,237,POINT (1311471.507639684 6109873.381700609)
238,238,POINT (946974.648031054 6539590.146206465)
239,239,POINT (918738.2365523585 6873206.658951779)
240,240,POINT (934514.1008291087 6371105.180514619)
241,241,POINT (1300167.124669118 6854279.084445977)
242,242,POINT (1374253.362737784 6650215.328204258)
243,243,POINT (1225371.5588051174 6346566.33099299)
244,244,POINT (1562804.2011731055 6698754.089845255)
245,245,POINT (1167112.9485764208 6372787.159760697)
246,246,POINT (1429679.0032452825 6620850.275446899)
247,247,POINT (729971.7722633702 6584777.317272745)
248,248,POINT (1077717.3862169194 6545423.555995763)
249,249,POINT (1074233.08615509 6964522.005637595)
250,250,POINT (808166.1448202708 6692334.666703617)
251,251,POINT (817658.5804391949 6747404.126822248)
252,252,POINT (702522.5009040739 6616252.359201611)
253,253,POINT (1300916.5274811382 6775097.18019499)
254,254,POINT (891855.4700817092 6857668.450768503)
255,255,POINT (1314100.2060952764 6141635.552060927)
256,256,POINT (735934.489468221 6517654.026973668)
257,257,POINT (1526201.35072486 7142988.071349117)
258,258,POINT (1242991.65308584 6832754.311540263)
259,259,POINT (833257.0014476208 7031260.632503087)
260,260,POINT (938601.3072530746 6400264.140518573)
261,261,POINT (1534113.6061719733 6887982.2889978485)
262,262,POINT (1307081.5122007607 6256924.313875965)
263,263,POINT (897014.5718825235 6942131.604626013)
264,264,POINT (1016578.7181224193 6409436.967344614)
265,265,POINT (1266180.3935740052 6604672.962208185)
266,266,POINT (882158.0952802347 6184794.197610433)
267,267,POINT (1488380.665047336 6843287.652465395)
268,268,POINT (845934.9556150851 6670992.1308630435)
269,269,POINT (1119346.422993972 7054183.630947015)
270,270,POINT (1230681.4985159566 6071906.308604201)
271,271,POINT (761536.6365167846 6596443.157611978)
272,272,POINT (730534.1583308579 6925415.554048424)
273,273,POINT (874227.8060756129 6603558.245843947)
274,274,POINT (1342624.3784576724 6604965.478940471)
275,275,POINT (936653.3274836831 6444890.497196432)
276,276,POINT (1555863.5422416357 7182504.023169929)
277,277,POINT (994514.415810757 6903583.054537231)
278,278,POINT (1236816.872251028 6674201.824984684)
279,279,POINT (1301232.118237537 6146605.129771399)
280,280,POINT (927838.7162441994 7019365.887678664)
281,281,POINT (1123076.8504499453 6969747.096364709)
282,282,POINT (1382521.061319 6127066.78046448)
283,283,POINT (838353.9869725724 6382513.866479716)
284,284,POINT (717963.6274720089 6665301.3688494675)
285,285,POINT (841801.3289634584 6843306.557730438)
286,286,POINT (789617.0893888786 7059707.655178606)
287,287,POINT (815598.6132620655 7071547.729993617)
288,288,POINT (740675.3639421251 6569364.487318666)
289,289,POINT (929185.9047217795 6126772.459433729)
290,290,POINT (1493615.6867408713 6657711.430197078)
291,291,POINT (1383565.5721011136 6576053.508316963)
292,292,POINT (1502363.506285879 6700188.141131625)
293,293,POINT (859918.6874095546 6740681.140136086)
294,294,POINT (1244320.0285694762 6924039.9740603175)
295,295,POINT (1337982.355691593 6674497.190138571)
296,296,POINT (773803.0425267861 6606445.345972917)
297,297,POINT (1364344.2582648206 6310885.336606195)
298,298,POINT (1481584.498814916 6895102.291449876)
299,299,POINT (948599.9125966358 6807688.590939424)
300,300,POINT (741855.3505445338 6681515.029562592)
301,301,POINT (1055627.9257003379 7063957.651486923)
302,302,POINT (844318.1513308036 7014466.066124993)
303,303,POINT (1431149.0884406983 6600771.851505878)
304,304,POINT (1401875.2906273005 6150693.971450173)
305,305,POINT (1535367.2862772872 6876924.172594901)
306,306,POINT (889861.0700846569 6591194.416762726)
307,307,POINT (1526034.3714886701 6628744.106653729)
308,308,POINT (1375699.2916036975 6897327.511071109)
309,309,POINT (1455710.5095698354 6247984.557155447)
310,310,POINT (1359660.1567312214 6582835.468356445)
311,311,POINT (862291.9076337764 6851985.843912738)
312,312,POINT (1338312.5293012857 6759764.938625811)
313,313,POINT (1315400.863025705 6113949.7139085485)
314,314,POINT (1294693.322667831 6805316.266013371)
315,315,POINT (820543.4250431026 6663453.808120555)
316,316,POINT (755779.6377309195 6489757.131356673)
317,317,POINT (863861.5124539615 6348945.368048588)
318,318,POINT (964616.7835709534 6255066.065783589)
319,319,POINT (962713.2202783884 6835479.203583412)
320,320,POINT (1028999.7469051329 7046149.212837727)
321,321,POINT (863441.8379736709 6195330.62146748)
322,322,POINT (1314941.3361677104 6173867.5250343)
323,323,POINT (1228021.29664447 6950618.0520203)
324,324,POINT (1027183.1241348772 6308996.608182925)
325,325,POINT (1093435.6983169296 6797431.791543091)
326,326,POINT (928747.9738449989 6739347.798041205)
327,327,POINT (1308159.7527885842 6764644.615314116)
328,328,POINT (1091976.5224316115 6583861.978131927)
329,329,POINT (947438.6276686804 6738825.756088081)
330,330,POINT (975356.7767231978 6776523.30372428)
